# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.001340
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
meta float
fg_scfh 6.660000
o2_scfh 8.190000
meta end

## End Configuration ##
#: Wed Oct 13 14:42:49 2021
4.093648e-02	7.377357e+00
-1.061766e-01	-3.286842e+00
-1.017866e-01	-6.964021e+00
-1.158095e-01	-8.459908e+00
-9.796499e-02	-8.986753e+00
-1.051975e-01	-9.131099e+00
-1.023551e-01	-9.075824e+00
-1.003653e-01	-8.936848e+00
-1.075031e-01	-8.780816e+00
-9.480668e-02	-8.590987e+00
-9.935465e-02	-8.405581e+00
-9.284852e-02	-8.207856e+00
-9.831241e-02	-8.024660e+00
-8.533174e-02	-7.818091e+00
-1.000811e-01	-7.633948e+00
-8.634240e-02	-7.438750e+00
-8.406841e-02	-7.238182e+00
-9.597526e-02	-7.053092e+00
-8.245767e-02	-6.849365e+00
-8.849005e-02	-6.657641e+00
-8.356308e-02	-6.460233e+00
-8.122593e-02	-6.267245e+00
-7.822553e-02	-6.065730e+00
-8.766889e-02	-5.881271e+00
-7.055083e-02	-5.684178e+00
-7.686745e-02	-5.479820e+00
-8.113118e-02	-5.299151e+00
-6.707668e-02	-5.090687e+00
-7.415131e-02	-4.898332e+00
-6.875059e-02	-4.699343e+00
-6.834000e-02	-4.511726e+00
-6.423420e-02	-4.305789e+00
-6.972966e-02	-4.121014e+00
-5.289585e-02	-3.918235e+00
-5.940197e-02	-3.719563e+00
-5.788599e-02	-3.535735e+00
-5.169569e-02	-3.326008e+00
-5.251685e-02	-3.142496e+00
-4.951645e-02	-2.935927e+00
-5.160094e-02	-2.749889e+00
-4.389465e-02	-2.546479e+00
-5.147460e-02	-2.359177e+00
-3.732536e-02	-2.157662e+00
-4.613705e-02	-1.962148e+00
-3.751485e-02	-1.775478e+00
-3.839918e-02	-1.575542e+00
-3.363013e-02	-1.392030e+00
-2.762933e-02	-1.173775e+00
-3.669369e-02	-9.883682e-01
-2.478685e-02	-7.868530e-01
-2.933482e-02	-5.960768e-01
-2.156537e-02	-3.948774e-01
-2.905057e-02	-2.047330e-01
-1.288000e-02	-5.744605e-03
-2.017571e-02	1.837918e-01
2.090348e-03	3.799627e-01
2.406171e-03	5.846627e-01
6.691483e-04	7.644070e-01
1.649184e-02	9.659482e-01
1.712348e-02	1.162119e+00
2.407157e-02	1.358290e+00
2.239772e-02	1.551302e+00
3.281985e-02	1.756318e+00
1.469165e-02	1.941432e+00
3.433580e-02	2.142342e+00
3.095650e-02	2.345778e+00
2.176607e-02	2.533420e+00
3.585174e-02	2.738436e+00
3.095650e-02	2.929237e+00
3.667288e-02	3.127619e+00
3.411472e-02	3.317472e+00
3.720978e-02	3.523435e+00
2.312411e-02	3.707286e+00
3.951528e-02	3.910407e+00
3.146182e-02	4.113212e+00
2.533486e-02	4.292324e+00
4.090490e-02	4.502079e+00
2.681923e-02	4.688457e+00
3.686237e-02	4.890630e+00
3.247245e-02	5.080167e+00
4.478951e-02	5.283919e+00
3.190397e-02	5.468086e+00
4.523166e-02	5.669627e+00
3.863098e-02	5.869273e+00
3.101966e-02	6.052492e+00
4.895836e-02	6.266669e+00
2.820885e-02	6.451152e+00
4.703185e-02	6.648586e+00
3.559909e-02	6.836860e+00
4.011534e-02	7.048510e+00
3.272510e-02	7.239626e+00
3.891522e-02	7.438324e+00
4.017851e-02	7.635127e+00
3.531485e-02	7.822769e+00
4.182078e-02	8.031260e+00
3.370415e-02	8.210688e+00
4.580014e-02	8.420758e+00
3.443054e-02	8.607768e+00
4.144180e-02	8.805202e+00
3.755718e-02	9.001689e+00
4.043116e-02	9.198492e+00
3.796775e-02	9.366232e+00
3.992585e-02	9.331800e+00
3.370415e-02	9.206074e+00
4.115755e-02	9.024117e+00
4.052591e-02	8.852271e+00
3.323042e-02	8.652625e+00
4.352622e-02	8.467510e+00
3.256719e-02	8.271972e+00
4.137863e-02	8.078959e+00
