# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.001340
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
meta float
fg_scfh 11.310000
o2_scfh 13.780000
meta end

## End Configuration ##
#: Wed Oct 13 14:50:04 2021
7.138174e-02	7.369143e+00
-5.978097e-02	-3.296949e+00
-4.986386e-02	-7.001923e+00
-2.601859e-02	-8.458013e+00
-3.672528e-02	-9.004757e+00
-2.797675e-02	-9.130783e+00
-2.440785e-02	-9.072034e+00
-3.129297e-02	-8.946956e+00
-2.213386e-02	-8.773868e+00
-2.184962e-02	-8.600147e+00
-1.679631e-02	-8.406528e+00
-1.787014e-02	-8.223017e+00
-1.379591e-02	-8.009500e+00
-2.980857e-02	-7.823777e+00
-2.295502e-02	-7.638054e+00
-1.335375e-02	-7.428327e+00
-3.293530e-02	-7.243236e+00
-2.870316e-02	-7.039510e+00
-3.533562e-02	-6.852840e+00
-2.535534e-02	-6.651956e+00
-3.802019e-02	-6.466234e+00
-2.475526e-02	-6.260928e+00
-3.265105e-02	-6.067626e+00
-3.375646e-02	-5.886957e+00
-1.322742e-02	-5.679756e+00
-2.845049e-02	-5.493086e+00
-1.193251e-02	-5.290307e+00
-1.796489e-02	-5.090371e+00
-6.531789e-03	-4.895805e+00
-1.341692e-02	-4.698712e+00
-1.319583e-02	-4.504461e+00
-8.837359e-03	-4.302946e+00
-1.812280e-02	-4.123225e+00
-5.236880e-03	-3.911602e+00
-2.014413e-02	-3.719247e+00
-5.868543e-03	-3.530681e+00
-1.382750e-02	-3.332325e+00
-1.297475e-02	-3.140917e+00
-5.047381e-03	-2.936875e+00
-1.430124e-02	-2.748626e+00
-8.742610e-03	-2.547426e+00
-1.426966e-02	-2.355387e+00
-6.594955e-03	-2.155766e+00
-1.528032e-02	-1.966570e+00
-1.983816e-03	-1.772319e+00
-1.149034e-02	-1.560381e+00
-2.143903e-02	-1.380344e+00
-1.104818e-02	-1.172511e+00
-1.695423e-02	-9.807876e-01
-1.256417e-02	-7.896956e-01
-1.313267e-02	-5.919707e-01
-6.752871e-03	-3.920347e-01
-1.606990e-02	-2.053647e-01
-1.162655e-03	-1.079828e-02
2.879904e-03	1.935845e-01
4.522179e-03	3.720653e-01
2.729296e-02	5.773971e-01
2.331360e-02	7.735680e-01
3.127232e-02	9.637369e-01
3.809408e-02	1.164014e+00
4.216819e-02	1.351024e+00
4.741084e-02	1.552565e+00
4.671603e-02	1.751579e+00
5.050590e-02	1.958175e+00
3.752560e-02	2.138235e+00
5.565380e-02	2.339776e+00
5.587487e-02	2.545108e+00
5.161127e-02	2.728327e+00
5.909626e-02	2.936818e+00
5.363254e-02	3.124460e+00
6.582327e-02	3.326317e+00
5.988581e-02	3.513011e+00
6.658124e-02	3.720554e+00
5.770664e-02	3.908196e+00
6.506530e-02	4.101840e+00
6.765504e-02	4.310014e+00
5.947525e-02	4.489127e+00
7.532952e-02	4.698881e+00
6.304403e-02	4.885575e+00
7.479262e-02	5.087116e+00
6.812877e-02	5.280760e+00
7.071852e-02	5.475667e+00
6.898149e-02	5.675313e+00
7.075009e-02	5.861060e+00
7.463471e-02	6.069551e+00
6.563378e-02	6.250242e+00
8.031951e-02	6.465999e+00
6.437049e-02	6.649850e+00
7.965629e-02	6.846968e+00
7.476104e-02	7.049457e+00
7.292927e-02	7.240258e+00
7.984578e-02	7.438008e+00
7.270820e-02	7.630073e+00
8.035109e-02	7.834773e+00
7.551901e-02	8.012305e+00
8.720443e-02	8.221428e+00
6.711815e-02	8.415704e+00
7.892989e-02	8.608716e+00
8.455153e-02	8.811204e+00
7.018162e-02	8.999794e+00
7.889831e-02	9.198492e+00
7.832983e-02	9.358651e+00
8.151963e-02	9.335275e+00
7.447680e-02	9.196913e+00
8.101432e-02	9.041808e+00
7.011846e-02	8.851954e+00
7.510845e-02	8.652309e+00
8.193021e-02	8.474776e+00
6.711815e-02	8.271339e+00
7.845616e-02	8.082750e+00
